V1,A.S. President,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus
R_0x1QAXw0WQBA7NX,1,4,,2,3,1,4,,2,3,4,2,,1,3,1,4,,3,2,3,1,,4,2,4,,,1,3,2,,,,,,,,,,10,,1,,,,,,12,3,,,,7,11,,2,,,,6,,9,,8,5,,,13,,,4,,,,,,,,,,,,,,,
R_41Go7bD1znZSf2J,1,,,2,,,,,1,,,2,Your Mom,,1,1,,,3,2,,,,,1,,,,1,,,2,,,,,,,,,12,,,4,,,3,,,2,,11,7,,10,6,,,1,,,5,,,,8,,13,,,,9,,,,,,,,,,,,,,,
R_efAV3C9m1gOimlD,1,,,,2,,,,,,2,3,Et sed integer natoque integer eget? Et commodo convallis. Purus ac at nibh nulla odio.,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Suspendisse faucibus. Ut, wisi amet mi eleifend posuere amet purus sollicitudin.",3,,,,4,,1,,,,
R_56mtNd9D0xvbBZj,,,,1,,2,3,"Gravida laoreet. Malesuada tempor potenti, ridiculus nunc tempus sed nunc.",,1,,,,,,3,4,Blandit fringilla ligula montes eros justo. Lorem tempora dui auctor. Non.,1,2,2,4,Convallis quam rhoncus sodales diam rutrum tincidunt. Ultrices pede convallis quam velit gravida placerat ligula.,1,3,,,,,,,,,,,,3,2,"Fusce tellus. Arcu posuere ab ab, est viverra pharetra sapien.",1,,,,,5,,,,3,,2,,7,,,,,9,,,,,,8,10,,1,4,,,,6,,,,,,,,,,,,,,,
R_escPXSFggNzo7sN,1,,,3,2,,,,,,1,3,Eget accumsan velit amet vel eu turpis volutpat fringilla tempora dui scelerisque.,,2,4,2,Nulla malesuada tempor viverra risus natoque cursus scelerisque dolorem ridiculus? Proin vitae nibh eu.,1,3,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,4,8,,,,,,,11,,7,,12,9,,5,6,3,10,,,,,,,,,,,,,,,,
R_eeUSiket91N557n,,1,Vulputate rhoncus purus curabitur donec urna vivamus vitae. Urna et convallis.,2,3,,2,Ut posuere pretium pretium auctor vel integer! Facilisi sit! Ut! Turpis.,1,,,1,Ab turpis volutpat in elit. Fringilla atque vel lectus dictumst imperdiet. Montes amet.,,,1,4,Ac laoreet neque. Elementum laoreet pede magna ultricies platea! Urna wisi. Vehicula. Vel.,2,3,,1,Aenean id. Pede porta! Pharetra dictumst donec primis? Elit! Felis. Interdum eget! Aliquet! Lacus.,,,,,,,,,,,,,,,2,Justo at integer natoque scelerisque placerat dictumst ab. Aliquam? Accumsan.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9Ff861ahe1qpQk5,1,,,,,3,,,1,2,2,,,1,3,3,2,Nibh diam montes? Sem tempora eleifend. Dolor tempor enim tempora! Luctus.,,1,4,2,Phasellus risus arcu viverra consectetuer ipsum pellentesque nulla a enim sapien mattis.,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_9SIgTfYb6e6ttpH,,,,,,,,,,,3,2,Wisi ut? Dignissim lorem fusce. Ridiculus vivamus sem. Suspendisse vehicula.,1,,,,,,,1,,,,,,,,3,1,,2,,,,,,,,,,,,4,2,10,3,,9,,,,,,5,,,1,,7,,,,,,,,,,,,8,6,Same Thing,,,,,,,,,,,,,
R_1LhAvfMPE8k2a6p,1,2,Gravida wisi interdum suscipit urna convallis dolor commodo! Sem pharetra.,3,,,1,Purus. Euismod vivamus ullamcorper laoreet dolor montes faucibus tempus. Ridiculus. Potenti.,3,2,,,,2,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6DRwckOqLaa2ufX,,,,,,,1,Pretium ipsum metus curabitur nec auctor. Turpis sit. Ante. Donec? Arcu.,,2,,,,,,,1,Dapibus. Posuere fringilla eu et vel! Rhoncus aenean in ac tortor? Maecenas porta faucibus.,,,4,3,Diam velit nibh porta? Tempora magna. Est donec vel. Nonummy velit turpis placerat.,2,1,,1,"Velit vulputate porttitor magna dolor pharetra accusamus scelerisque venenatis, metus! Interdum.",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Dignissim fermentum ut ultrices ultricies pellentesque duis velit facilisi quam! Posuere massa interdum nunc.,
R_2ogj9ByzNYVReFn,,3,Ac. Ut vulputate venenatis elit cras nec diam montes leo wisi? Sed.,2,1,,1,Viverra dignissim. Commodo blandit sed posuere at diam augue tempus tempus.,,,3,4,Neque etiam molestie pharetra integer tellus tempus aenean venenatis tortor suscipit vivamus atque.,2,1,,,,,,1,2,Interdum viverra aenean platea imperdiet porttitor sagittis ante gravida nullam.,4,3,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Tellus nullam ac ultricies integer pede urna, diam eget pellentesque.",
R_3HPzbgHoH0Y15R3,4,1,"Consectetuer pretium lacus ullamcorper porta interdum. Accusamus elit, laoreet? Platea erat venenatis. Ridiculus.",3,2,,,,,,2,1,Sapien wisi montes mi laoreet convallis tincidunt porta eget sollicitudin. Ullamcorper atque aenean.,3,4,1,4,Turpis molestie quis. Erat proin atque nonummy wisi! Id viverra tempor sem. Risus scelerisque.,2,3,1,,,,,,,,,,,,,,,,,2,"Curabitur atque. Sed, id mauris quis maecenas nunc vitae id cursus accusamus arcu! Eleifend.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eECBNR3AL9ctSBv,,,,1,,3,,,2,1,,,,2,1,3,4,Pharetra rhoncus urna vitae montes tellus nullam ultrices! Aenean mi.,2,1,2,,,1,,,2,Sodales? Pede justo luctus id. Dui placerat mi potenti porta.,,,3,1,,,,,,,,,,12,,,,,,8,5,9,,13,10,,11,,,1,,7,3,,,4,,,,6,,,,,2,Same Thing,,,,,,,,,,,,,
R_dpa0D1Tf33p23Fb,,2,Tempus euismod aenean suscipit mi et dapibus mauris viverra sodales magna fusce scelerisque nec.,,1,1,,,3,2,3,1,"Interdum? Eget eget! Non? Augue, iaculis donec dolorem posuere lorem.",,2,,,,,,,,,,,,,,,,,,2,3,Velit in nunc imperdiet? A sapien phasellus sit vitae dolor.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,,,,,
R_8IBcMc47lcVbmDz,1,,,2,3,2,,,1,3,3,,,2,1,1,,,2,3,1,,,3,2,2,,,3,,1,4,,,,,,,,,,4,5,6,2,,3,7,11,,8,,,,1,9,13,,,,,10,,,,12,,,,,,,,,,,,,,,,,,,,,
R_es0MwykFIfX4wfj,2,,,,1,1,,,2,,1,,,2,,2,,,1,3,2,,,3,1,4,,,3,,1,2,,,,,,,,,1,,13,6,4,,5,,,,,,,7,,,,,,10,,9,,11,2,12,,,8,,,3,,,,,,,,,,,,,,,
R_esSiXKHQ42r4NSZ,3,,,1,2,2,,,1,3,3,,,2,1,2,,,3,1,1,,,3,2,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,3,4,1,,,,
R_1NrnnohcURLB70x,3,,,2,1,2,,,3,1,2,,,1,3,3,,,2,1,1,,,3,2,,,,,,,,,,,,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,5,3,,,,
R_3Eitm8Df44zRZ3L,3,,,1,2,3,,,2,1,1,,,3,2,2,,,3,1,2,,,1,3,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2
R_cYLtJbUB7RQrZGZ,3,,,2,1,2,,,1,3,1,,,2,3,3,,,2,1,3,,,2,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1
R_0SusxYDqkRnTCQt,3,1,Avery Chamberlain,2,4,2,,,3,1,3,4,Avery Chamberlain,2,1,3,,,1,2,1,,,3,2,1,,,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,3,,1,,,,
R_cRYLakRcPZCh4KV,3,1,Avery Chamberlain,4,2,4,1,Avery Chamberlain,2,3,2,3,Avery Chamberlain,4,1,2,4,Avery Chamberlain,1,3,2,4,Avery Chamberlain,1,3,1,3,Avery Chamberlain,4,,2,,,,,,,,,,,6,5,,,,,,,2,,4,12,,,7,,,,,,,8,9,1,13,11,3,,,,,10,Avery Chamberlain,,,,,,,,,,,,,
R_1H8l7bXEq5ufO1n,2,1,Avery Chamberlain,3,4,3,1,Avery Chamberlain,2,4,2,1,Avery Chamberlain,4,3,4,1,Avery Chamberlain,2,3,2,1,Avery Chamberlain,3,4,,,,,,,,3,1,Avery Chamberlain,2,,,,,,,10,3,,9,,,2,,,,7,,,,,1,8,5,11,,,,,6,4,,,,12,,13,Avery Chamberlain,,,,,,,,,,,,,
R_50gAkeBIrGCIhM1,2,,,1,,,,,2,1,2,,,1,,,,,1,2,,,,1,2,,,,4,2,3,1,,,,,,,,,5,,,,,7,9,8,3,,,,11,,2,,,10,,,6,,,,,,,4,1,,13,12,,,,,,,,,,,,,,,
R_9EpGSfZP2m19CMB,2,,,1,3,1,,,3,2,3,,,2,1,1,,,2,3,2,,,3,1,2,,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,2,,,,,
R_87YMgGYEZ9BNwFf,1,,,2,3,3,,,2,1,2,,,1,3,1,,,2,3,3,,,2,1,,,,,,,,2,1,,3,,,,,8,7,,4,6,,,,,,,,1,9,2,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
R_9KBlVvIwEJflRsx,2,,,3,1,3,,,2,1,1,,,2,3,3,,,2,1,2,,,3,1,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_2rOsvGkIoGhKaQ2,1,,,2,,,,,1,,,,,,,,3,Batman,1,2,,,,1,,1,,,,,2,,,,,,,,,,,,,,3,1,,,,,,,,,,,2,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,
