startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,QID2_1,QID2_2,QID2_3,QID2_4,QID2_4_TEXT,QID3_1,QID3_2,QID3_3,QID3_4,QID3_5,QID3_6,QID3_7,QID3_7_TEXT,QID3_7_TEXT_588088030ef9450b8bd56816Topic0
11/23/16 15:19,11/23/16 15:20,IP Address,192.168.1.1,100,7,TRUE,11/23/16 15:20,R_1lrAj28KvRp5w2q,,,,,34.4141859,-119.859201,anonymous,,1,2,,,,1,,,,,,,
11/23/16 15:20,11/23/16 15:20,IP Address,192.168.1.1,100,17,TRUE,11/23/16 15:20,R_1i59fgGSj4nc4ya,,,,,34.4141859,-119.859201,anonymous,,2,1,,,2,3,,,,1,,,
11/23/16 15:20,11/23/16 15:20,IP Address,192.168.1.1,100,17,TRUE,11/23/16 15:20,R_28USs87CsuBbSA7,,,,,34.4141859,-119.859201,anonymous,,1,2,,,1,,,,,2,,,
11/23/16 15:21,11/23/16 15:22,IP Address,192.168.1.1,100,8,TRUE,11/23/16 15:22,R_1HeEUKDviHGjKur,,,,,34.4141859,-119.859201,anonymous,1,,,,,,,1,2,,,,,
11/23/16 15:35,11/23/16 15:37,IP Address,192.168.1.1,100,113,TRUE,11/23/16 15:37,R_1gSbLNtBA7k6iXy,,,,,34.4141859,-119.859201,anonymous,,1,2,,,1,,2,,3,,,,
11/23/16 15:44,11/23/16 15:45,IP Address,192.168.1.1,100,85,TRUE,11/23/16 15:45,R_1dcz99WMYzWCCOb,,,,,34.4141859,-119.859201,anonymous,2,1,3,,,2,,1,,,,3,Ramen,Unknown
11/23/16 15:45,11/23/16 15:46,IP Address,192.168.1.1,100,36,TRUE,11/23/16 15:46,R_3qxlEmQ8Nje9zUi,,,,,34.4141859,-119.859201,anonymous,2,3,1,,,,2,,3,,1,,,
11/23/16 15:46,11/23/16 15:47,IP Address,192.168.1.1,100,29,TRUE,11/23/16 15:47,R_3h54ZQ8hcslBK0F,,,,,34.4141859,-119.859201,anonymous,3,2,1,,,,,,2,1,,3,Ramen,Unknown
11/23/16 15:47,11/23/16 15:47,IP Address,192.168.1.1,100,31,TRUE,11/23/16 15:47,R_1ps7Bx4DaTRfnqe,,,,,34.4141859,-119.859201,anonymous,3,2,1,,,1,,3,,,,2,Ramen,Unknown
11/23/16 15:47,11/23/16 15:48,IP Address,192.168.1.1,100,28,TRUE,11/23/16 15:48,R_2v1c4IUpOYcanjz,,,,,34.4141859,-119.859201,anonymous,2,1,3,,,,,3,2,,,1,Ramen,Unknown
11/23/16 15:48,11/23/16 15:48,IP Address,192.168.1.1,100,24,TRUE,11/23/16 15:48,R_3KACdL33LWUxQ1f,,,,,34.4141859,-119.859201,anonymous,1,2,3,,,,2,3,,1,,,,
11/23/16 15:49,11/23/16 15:49,IP Address,192.168.1.1,100,37,TRUE,11/23/16 15:49,R_1isaGa0h8vaYA0p,,,,,34.4141859,-119.859201,anonymous,2,1,3,,,1,,3,,,2,,,
11/23/16 15:49,11/23/16 15:50,IP Address,192.168.1.1,100,27,TRUE,11/23/16 15:50,R_3kAkSLgVHRablhX,,,,,34.4141859,-119.859201,anonymous,3,2,1,,,3,,1,2,,,,,
11/23/16 15:50,11/23/16 15:50,IP Address,192.168.1.1,100,25,TRUE,11/23/16 15:50,R_09rBF79Q0BCAYEh,,,,,34.4141859,-119.859201,anonymous,1,2,3,,,,2,3,,1,,,,
11/23/16 15:53,11/23/16 15:54,IP Address,192.168.1.1,100,46,TRUE,11/23/16 15:54,R_WDHTmXG2K4ZyV6V,,,,,34.4141859,-119.859201,anonymous,1,3,2,,,,1,,2,3,,,,
11/23/16 16:01,11/23/16 16:03,IP Address,192.168.1.1,100,111,TRUE,11/23/16 16:03,R_32Sk5pp7ThqtQlG,,,,,34.4141859,-119.859201,anonymous,3,2,4,1,knob,3,,,,,2,1,bob,Unknown
11/23/16 20:19,11/23/16 20:19,IP Address,192.168.1.1,100,47,TRUE,11/23/16 20:19,R_2ZPLxT4mGxRJSAV,,,,,34.4141859,-119.859201,anonymous,1,3,2,,,3,,1,,2,,,,
11/28/16 13:44,11/28/16 13:44,IP Address,192.168.1.1,100,13,TRUE,11/28/16 13:44,R_3el90X9EWEz9Nq5,,,,,34.4141859,-119.859201,anonymous,1,,2,,,,2,,3,1,,,,
11/28/16 13:44,11/28/16 13:45,IP Address,192.168.1.1,100,17,TRUE,11/28/16 13:45,R_eJMYFuTpr3rBUWN,,,,,34.4141859,-119.859201,anonymous,,1,,,,1,,,,,2,,,
11/28/16 13:45,11/28/16 13:45,IP Address,192.168.1.1,100,15,TRUE,11/28/16 13:45,R_2dKCO5BFsCVmDX7,,,,,34.4141859,-119.859201,anonymous,1,,,2,Salami,,2,,3,1,,,,
11/28/16 13:45,11/28/16 13:46,IP Address,192.168.1.1,100,33,TRUE,11/28/16 13:46,R_1Qz2CojnbE5Z5hm,,,,,34.4141859,-119.859201,anonymous,1,,2,,,3,1,,,2,,,,
11/28/16 13:46,11/28/16 13:46,IP Address,192.168.1.1,100,40,TRUE,11/28/16 13:46,R_2c6kSkTMKOhiAZZ,,,,,34.4141859,-119.859201,anonymous,1,,,,,,,1,,2,,,,
11/28/16 13:46,11/28/16 13:47,IP Address,192.168.1.1,100,17,TRUE,11/28/16 13:47,R_9oZXo7W3LmPMWhr,,,,,34.4141859,-119.859201,anonymous,2,3,1,,,1,,,,3,2,,,
11/28/16 13:47,11/28/16 13:48,IP Address,192.168.1.1,100,81,TRUE,11/28/16 13:48,R_4HJxyLXFe9g1Rk1,,,,,34.4141859,-119.859201,anonymous,,,1,2,Candy Bar,,,1,2,,,3,Pixy Stix,Unknown
11/28/16 14:12,11/28/16 14:13,IP Address,192.168.1.1,100,15,TRUE,11/28/16 14:13,R_3fV0VujLNBeWJJL,,,,,34.4141859,-119.859201,anonymous,2,1,3,,,1,,3,,2,,,,
11/28/16 14:13,11/28/16 14:13,IP Address,192.168.1.1,100,21,TRUE,11/28/16 14:13,R_etx9OiehqyOjS5L,,,,,34.4141859,-119.859201,anonymous,3,1,2,,,1,,,3,,2,,,
11/28/16 14:24,11/28/16 14:25,IP Address,192.168.1.1,100,12,TRUE,11/28/16 14:25,R_27IJPlD2XJSULts,,,,,34.4141859,-119.859201,anonymous,,1,2,,,3,1,,,2,,,,
11/28/16 14:25,11/28/16 14:25,IP Address,192.168.1.1,100,15,TRUE,11/28/16 14:25,R_b1p4ZBbCt0hpcbz,,,,,34.4141859,-119.859201,anonymous,2,,1,,,,3,1,,2,,,,
11/28/16 14:32,11/28/16 14:32,IP Address,192.168.1.1,100,13,TRUE,11/28/16 14:32,R_WCgPpeawauov4VH,,,,,34.4141859,-119.859201,anonymous,1,3,2,,,1,,,,2,,,,
11/28/16 14:32,11/28/16 14:32,IP Address,192.168.1.1,100,13,TRUE,11/28/16 14:32,R_bfsW32pE2xigQzX,,,,,34.4141859,-119.859201,anonymous,1,3,2,,,,2,,,1,,,,
11/28/16 14:46,11/28/16 14:46,IP Address,192.168.1.1,100,9,TRUE,11/28/16 14:46,R_1Ne9mLRfli1oJ6y,,,,,34.4141859,-119.859201,anonymous,1,,2,,,,,,1,2,,,,
